Language,Has REPL,Is Compiled,Has GOTO,JIT,List comprehensions,Generics,GC,OOP,FP,Metaprogramming,Cross Platform,Safety,Strong,General Purpose,Package Manager,"special chars
 In HelloWorld","avg. specials
 Per line 
In HelloWorld","white space
In HelloWorld","Hello World
LOC","Hello World
Chars"
C,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,15,2.5,13,5,76
C++,0,1,1,0,0,1,0,1,1,1,1,0,1,1,0,15,2.5,15,4,81
Go,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,11,1.83333333333333,9,5,73
Rust,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,10,2.5,7,4,43
FORTRAN,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,4,1,9,2,53
Java,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,16,2.66666666666667,25,4,117
Scala,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,15,2.5,24,5,104
Julia,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,4,2,1,2,23
Python,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,4,2,1,1,21
Haskell,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,2,1,4,2,30
JavaScript,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,6,3,1,1,28
F#,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,6,1,14,6,75
VisualBasic,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,7,1,23,5,110
Excel,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,11
QBASIC,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,2,2,2,0,19
R,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,5,2.5,1,1,22
MatLab,1,0,0,0,1,1,1,1,1,0,1,1,0,0,1,4,2,1,0,20
Mathematica,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,5,2.5,1,1,22
C#,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,17,1.7,60,5,171
ArrayBasic,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0.4,7,1,43
